ID,Время создания,"Как часто ты читаешь книги/статьи/учебные материалы, которые хочешь запомнить надолго?","Сталкивался ли ты с тем, что прочитанное быстро забывается? ","Какие методы для запоминания информации ты уже пробовал (конспекты, повторение, приложения)? Почему они не идеальны?",Пробовал ли ты метод интервального повторения?,Что самое сложное в запоминании прочитанного? / Не хватает времени повторять,Что самое сложное в запоминании прочитанного? / Нет системы,Что самое сложное в запоминании прочитанного? / Лень,"Что самое сложное в запоминании прочитанного? / Нет кого-то, кто бы контролировал этот процесс","Представь, что у тебя появится ИИ-ментор, который постоянно проверяет твои знания и подсказывает, что повторить. Во сколько рублей ты оценил бы комфорт и пользу от такого сервиса в месяц?",Где тебе удобнее общаться с ИИ-ментором?,Хотел бы ты видеть статистику по своим успехам в запоминании?,Какие еще фичи были бы полезны?,Твой возраст,Твой пол,Твоя профессия,"Если готов участвовать в тестировании продукта, укажи свой Telegram"
2126985654,2025-08-16 19:59:53,Часто,Да,"перечитывание, гиглинг ранее изученного, но редко применяемого, интервальные повторения","Да, мне помогает",Не хватает времени повторять,,,,До 500 р в месяц,Телеграм,Да,"напоминание о необходимости повторить материал, статистика по повторениям",36,М,раработчик,да
2126985891,2025-08-16 20:00:35,Часто,Да,"Только читать заново, когда информация пригодится еще раз. Это долго.",Нет,Не хватает времени повторять,Нет системы,Лень,"Нет кого-то, кто бы контролировал этот процесс",До 1000 р в месяц,Телеграм,Да,Хотя бы это бы,37,М,Главный эксперт цифровых технологий аудита в ПАО Сбер,@Sokolov_M_M
2126987348,2025-08-16 20:04:25,Иногда,Да,,Нет,Не хватает времени повторять,Нет системы,,,До 1000 р в месяц,Телеграм,Да,,39,М,developer,@sensordo
2126990245,2025-08-16 20:12:42,Часто,Да,Конспекты в заметках,Нет,,Нет системы,,"Нет кого-то, кто бы контролировал этот процесс",До 1000 р в месяц,Телеграм,Да,"1) Озвучка для тренировки восприятия на слух
2) Графики для контроля прогресса
3) Геймификация процесса
4) Совместное изучение с другими пользаками
5) Создание мини-лекций на основании  материала с выбором преподавателя (доктор Лифси или кот Леопольд) и манеры преподавания   ",21,Ж,Сисадмин,
2127001061,2025-08-16 20:40:52,Иногда,Да,,Нет,Не хватает времени повторять,Нет системы,,,До 100 р в месяц,Телеграм,Да,"Выделять ключевые моменты для помощи в запоминании (триггерные слова, ассоциации) ",35,Ж,Учащаяся,
2127009023,2025-08-16 21:00:55,Иногда,Да,,Нет,,,Лень,,Не буду пользоваться,На веб-страничке,Да,,27,Ж,АСУ пт,
2127018432,2025-08-16 21:25:35,Часто,Да,Никакие,Нет,,Нет системы,Лень,,До 100 р в месяц,Телеграм,Да,"Можно было бы написать скрипт на питоне (который у меня есть), скрипт запоминает основную информацию о содержимом текста и потом задаёт вопросы по тексту ленивому долбаебу(ваши потенциальные клиенты) и проверяет как он выучил тот или иной материал.
С уважением Амин Садигов",20,М,Зарабатываю деньги на программировании,den1ssed
2127021944,2025-08-16 21:35:35,Часто,Да,"Пытался самостоятельно сделать то, о чём написано и по возможности как-то изменить, но это не всегда получается",Нет,,Нет системы,,,До 500 р в месяц,Телеграм,Да,"Напоминания в определённое время, подсказки что ещё можно изучать по данной теме (через граф знаний может быть)",21,М,Студент,
2127025674,2025-08-16 21:46:23,Часто,Да,"Несколько раз читать. Не идеальны так как помнишь буквально один день только. Хорошо работает с маленьким объемом информации, но если надо в короткий срок выучить страниц 100-200, то сложно","Да, но мне не зашло",,,,"Нет кого-то, кто бы контролировал этот процесс",Не буду пользоваться,Телеграм,Да,,20,Ж,Нет профессии,
2127028196,2025-08-16 21:53:41,Часто,Да,,"Да, мне помогает",Не хватает времени повторять,,,,До 1000 р в месяц,Телеграм,Да,,27,М,Ведущий инженер-программист ,
